日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,filter,rsv,k,d
111/03/01,538787.0,120283287.0,220.0,225.0,220.0,223.0,+3.00,570.0,False,,,
111/03/02,805917.0,180605823.0,223.0,226.0,222.5,225.0,+2.00,1049.0,False,,,
111/03/03,1671809.0,377663323.0,228.5,231.0,222.5,226.0,+1.00,1307.0,False,,,
111/03/04,2053073.0,454924156.0,226.0,226.5,218.0,223.0,-3.00,1697.0,False,,,
111/03/07,1687454.0,367188810.0,221.5,223.0,215.0,215.5,-7.50,1637.0,False,,,
111/03/08,2749247.0,563441924.0,212.0,213.0,201.0,204.0,-11.50,2645.0,False,,,
111/03/09,698830.0,144681575.0,209.0,209.0,205.0,207.5,+3.50,750.0,False,,,
111/03/10,5051084.0,1002805495.0,208.0,211.0,192.0,197.5,-10.00,4383.0,False,,,
111/03/11,3112402.0,603865302.0,196.0,199.0,190.0,197.0,-0.50,2593.0,False,0.17073170731707318,0.3902439024390244,0.4634146341463414
111/03/14,1530882.0,304671373.0,198.5,200.5,196.5,199.5,+2.50,1061.0,False,0.23170731707317074,0.33739837398373984,0.4214092140921409
111/03/15,657208.0,128412661.0,199.0,199.0,193.0,193.5,-6.00,771.0,False,0.08536585365853659,0.25338753387533874,0.3654019873532068
111/03/16,806564.0,156870588.0,197.5,197.5,192.5,194.5,+1.00,751.0,False,0.1232876712328767,0.21002091299451808,0.3136082959003105
111/03/17,753723.0,148307062.0,197.0,199.5,195.5,196.5,+2.00,736.0,False,0.19696969696969696,0.20567050765291106,0.2776290331511774
111/03/18,720215.0,141785097.0,196.5,198.5,195.0,196.0,-0.50,745.0,False,0.2608695652173913,0.2240701935077377,0.2597760866033641
111/03/21,917841.0,182285037.0,196.5,201.0,196.5,198.5,+2.50,920.0,False,0.4047619047619048,0.2843007639257934,0.26795097904417386
111/03/22,793856.0,155116782.0,198.0,198.0,194.0,195.5,-3.00,889.0,False,0.2619047619047619,0.27683542991878285,0.2709124626690435
111/03/23,1598670.0,320890951.0,198.5,203.5,198.0,202.5,+7.00,1336.0,False,0.925925925925926,0.4931989285878306,0.34500795130863915
111/03/24,1395240.0,281594474.0,199.5,204.0,199.5,200.5,-2.00,1146.0,False,0.6956521739130435,0.5606833436962348,0.41689974877117103
111/03/25,1189859.0,237249504.0,203.5,204.5,196.5,197.0,-3.50,1081.0,False,0.375,0.4987888957974898,0.4441961311132773
