日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,filter,rsv,k,d
111/03/01,310399010.0,10052875945.0,32.8,33.1,31.75,32.1,-0.15,79982.0,False,,,
111/03/02,312933027.0,9847283972.0,31.8,32.3,30.7,31.4,-0.70,91277.0,False,,,
111/03/03,312523570.0,10233587966.0,31.95,33.6,31.9,32.7,+1.30,87502.0,False,,,
111/03/04,248932405.0,8100620521.0,32.1,33.05,31.85,32.05,-0.65,70274.0,False,,,
111/03/07,302032305.0,9137438717.0,31.5,31.65,29.2,29.8,-2.25,96261.0,False,,,
111/03/08,306617879.0,8763759348.0,28.35,29.7,27.5,27.95,-1.85,85542.0,False,,,
111/03/09,192531803.0,5515753489.0,28.85,29.1,28.25,28.3,+0.35,62650.0,False,,,
111/03/10,251665069.0,7548046793.0,29.65,30.6,29.45,29.8,+1.50,73074.0,False,,,
111/03/11,135936367.0,4061841179.0,29.9,30.25,29.3,30.25,+0.45,40700.0,False,0.4508196721311474,0.4836065573770491,0.494535519125683
111/03/14,109616969.0,3283556832.0,30.3,30.55,29.6,29.6,-0.65,35457.0,False,0.3442622950819674,0.4371584699453551,0.4754098360655737
111/03/15,188995692.0,5714806369.0,30.7,30.95,29.5,29.5,-0.10,53740.0,False,0.3278688524590163,0.4007285974499088,0.4505160898603521
111/03/16,222081063.0,6800572596.0,30.65,31.0,30.1,31.0,+1.50,63751.0,False,0.630630630630631,0.4773626085101495,0.4594649294102845
111/03/17,407382975.0,13394760579.0,32.55,34.0,31.7,33.55,+2.55,109824.0,False,0.9307692307692303,0.6284981492631765,0.5158093360279151
111/03/18,275416488.0,9172933601.0,33.3,34.15,32.6,33.5,-0.05,84500.0,False,0.9022556390977444,0.7197506458746992,0.5837897726435097
111/03/21,179236904.0,5992810377.0,33.5,33.95,32.9,33.05,-0.45,51675.0,False,0.8135593220338979,0.7510202045944321,0.6395332499604838
111/03/22,191286893.0,6176127946.0,32.9,32.95,31.85,32.2,-0.85,62706.0,False,0.5979381443298976,0.6999928511729205,0.6596864503646294
111/03/23,145517180.0,4765690608.0,32.55,33.1,32.3,32.45,+0.25,42156.0,False,0.6494845360824749,0.683156746142772,0.6675098822906769
111/03/24,159269958.0,5031921229.0,32.0,32.2,31.2,31.55,-0.90,53232.0,False,0.4408602150537637,0.6023912357797692,0.6458036667870409
111/03/25,133938356.0,4192733469.0,31.75,31.8,30.85,31.0,-0.55,43860.0,False,0.3225806451612904,0.5091210389069429,0.6002427908270083
111/03/28,65700443.0,2031819898.0,30.05,31.55,30.0,31.25,+0.25,25768.0,False,0.3012048192771085,0.4398156323636648,0.5467670713392271
111/03/29,166783823.0,5436391096.0,31.75,33.3,31.7,32.3,+1.05,56482.0,False,0.554216867469879,0.4779493773990695,0.5238278400258412
111/03/30,119938772.0,3935912462.0,33.15,33.5,32.15,32.2,-0.10,42493.0,False,0.5301204819277117,0.4953397455752835,0.5143318085423219
111/03/31,103031377.0,3366495216.0,32.65,33.15,32.2,32.25,+0.05,34835.0,False,0.5696202531645566,0.5200999147717078,0.5162545106187838
111/04/01,126409826.0,4135146709.0,32.0,33.1,31.9,33.0,+0.75,39760.0,False,0.8571428571428571,0.6324475622287575,0.5549855278221083
111/04/06,178910001.0,5982085268.0,32.55,34.45,32.5,34.2,+1.20,53160.0,False,0.9438202247191012,0.7362384497255388,0.6154031684565849
111/04/07,234187831.0,7752676712.0,33.9,34.05,32.0,32.0,-2.20,75166.0,False,0.4494382022471907,0.640638367232756,0.6238149013819754
111/04/08,203253868.0,6766878942.0,32.4,33.9,32.35,33.75,+1.75,56578.0,False,0.8426966292134827,0.7079911212263315,0.6518736413300941
111/04/11,203153373.0,6790046309.0,33.65,34.1,32.6,33.65,-0.10,61441.0,False,0.8202247191011227,0.7454023205179285,0.6830498677260388
111/04/12,261938187.0,8827509076.0,33.65,34.2,32.8,34.1,+0.45,70262.0,False,0.8727272727272724,0.7878439712543764,0.717981235568818
111/04/13,573640599.0,20457307808.0,35.0,36.7,34.7,35.25,+1.15,150256.0,False,0.6979166666666663,0.757868203058473,0.731276891398703
111/04/14,465490783.0,17071310063.0,36.2,37.6,35.95,37.35,+2.10,138820.0,False,0.9561403508771932,0.8239589189980463,0.762170900598484
111/04/15,290025746.0,10639829868.0,37.05,37.2,36.1,36.3,-1.05,90728.0,False,0.7719298245614029,0.8066158875191651,0.7769858962387108
111/04/18,255163031.0,8897006292.0,36.0,36.0,34.15,34.45,-1.85,84787.0,False,0.4375000000000004,0.6835772583461102,0.7458496836078439
111/04/19,194342864.0,6881440395.0,35.0,35.8,34.65,35.35,+0.90,57684.0,False,0.5982142857142858,0.655122934135502,0.7156074337837299
111/04/20,188329815.0,6682846468.0,35.95,36.3,34.8,34.8,-0.55,66911.0,False,0.4666666666666658,0.5923041783125567,0.6745063486266721
111/04/21,109438231.0,3871848795.0,35.15,35.7,34.9,35.65,+0.85,35552.0,False,0.6099999999999994,0.5982027855417043,0.6490718275983495
111/04/22,158809797.0,5681969723.0,35.35,36.2,34.9,36.15,+0.50,48967.0,False,0.6979166666666663,0.6314407459166915,0.6431948003711301
111/04/25,189795789.0,6697095800.0,35.3,36.25,34.35,36.25,+0.10,58087.0,False,0.608695652173913,0.623859048002432,0.636749549581564
111/04/26,263742328.0,9499842580.0,36.6,37.15,35.0,35.05,-1.20,84699.0,False,0.2608695652173907,0.5028625537407515,0.5921205509679599
111/04/27,194870704.0,6630263774.0,33.7,34.6,33.15,34.6,-0.45,61565.0,False,0.358024691358025,0.4545832662798427,0.5462747894052542
111/04/28,126381629.0,4340030969.0,34.8,35.1,33.7,33.75,-0.85,47835.0,False,0.15000000000000036,0.35305551085322856,0.4818683632212456
111/04/29,199560691.0,7041842686.0,34.25,35.8,34.15,35.65,+1.90,58359.0,False,0.625,0.4437036739021524,0.4691468001148812
111/05/03,157287837.0,5632458112.0,35.75,36.3,35.25,35.5,-0.15,52627.0,False,0.5875000000000004,0.491635782601435,0.4766431276103991
111/05/04,118065623.0,4245896549.0,36.0,36.45,35.5,35.7,+0.20,40569.0,False,0.6375000000000011,0.540257188400957,0.4978478145405851
111/05/05,128198838.0,4606457179.0,36.15,36.35,35.55,35.9,+0.20,39808.0,False,0.6875,0.5893381256006379,0.5283445848939361
111/05/06,93771944.0,3342329334.0,35.3,36.2,35.1,36.2,+0.30,32493.0,False,0.7625000000000011,0.6470587504004257,0.5679159733960992
111/05/09,131194613.0,4672940182.0,35.95,36.35,35.0,35.0,-1.20,47456.0,False,0.4625000000000004,0.5855391669336172,0.5737903712419385
111/05/10,122253362.0,4269485445.0,34.1,35.7,34.0,35.7,+0.70,38205.0,False,0.7727272727272729,0.6479352021981691,0.5985053148940154
111/05/11,116041882.0,4052936907.0,35.2,35.5,34.55,34.55,-1.15,39499.0,False,0.30909090909090703,0.5349871044957484,0.577332578094593
111/05/12,318402289.0,10398801708.0,34.45,34.75,31.1,31.15,-3.40,102154.0,False,0.009345794392522831,0.35977333446133986,0.5048128302168421
111/05/13,216177123.0,6813127159.0,31.8,32.0,30.9,31.8,+0.65,67194.0,False,0.16216216216216242,0.2939029436949474,0.4345095347095438
111/05/16,131406389.0,4191798966.0,31.9,32.55,31.3,32.25,+0.45,38053.0,False,0.2432432432432433,0.2770163768777127,0.3820118154322667
111/05/17,129086274.0,4121066368.0,32.2,32.6,31.5,31.8,-0.45,38631.0,False,0.1651376146788994,0.2397234561447749,0.3345823623364361
