日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,filter,rsv,k,d,5MA,10MA,20MA
111/03/01,95513261.0,1787914462.0,18.6,18.95,18.4,18.75,-0.20,28061.0,False,,,,,,
111/03/02,128973717.0,2368083755.0,18.55,18.65,18.2,18.4,-0.35,45104.0,False,,,,,,
111/03/03,59568588.0,1098898390.0,18.5,18.6,18.35,18.45,+0.05,16233.0,False,,,,,,
111/03/04,170046788.0,3062699597.0,18.25,18.25,17.9,17.9,-0.55,66076.0,False,,,,,,
111/03/07,221879521.0,3778556793.0,17.3,17.4,16.9,17.05,-0.85,70999.0,False,,,,18.11,,
111/03/08,110913018.0,1883765801.0,16.75,17.25,16.7,16.95,-0.10,36438.0,False,,,,17.75,,
111/03/09,59310141.0,1012727699.0,17.1,17.2,17.0,17.05,+0.10,18801.0,False,,,,17.48,,
111/03/10,100965960.0,1784291080.0,17.5,17.95,17.45,17.7,+0.65,27758.0,False,,,,17.330000000000002,,
111/03/11,42632304.0,746701561.0,17.7,17.7,17.45,17.5,-0.20,15966.0,False,0.35555555555555585,0.451851851851852,0.4839506172839506,17.25,,
111/03/14,40270973.0,706663208.0,17.6,17.75,17.4,17.55,+0.05,12919.0,False,0.4358974358974368,0.44653371320038016,0.4714783159227605,17.35,17.73,
111/03/15,65826946.0,1163975671.0,17.6,17.9,17.45,17.8,+0.25,17161.0,False,0.5789473684210528,0.4906715982739377,0.4778760767064861,17.52,17.635,
111/03/16,63682001.0,1136082306.0,17.9,18.1,17.7,17.85,+0.05,17265.0,False,0.7419354838709687,0.5744262268062814,0.5100594600730846,17.68,17.580000000000002,
111/03/17,119407867.0,2215220494.0,18.35,18.75,18.3,18.65,+0.80,26812.0,False,0.9512195121951212,0.7000239886025613,0.5733809695829101,17.869999999999997,17.6,
111/03/18,228286627.0,4325068082.0,18.8,19.05,18.6,19.05,+0.40,23577.0,False,1.0,0.8000159924017075,0.6489259771891758,18.179999999999996,17.715000000000003,
111/03/21,84405010.0,1594554005.0,19.1,19.2,18.7,18.8,-0.25,29136.0,False,0.8181818181818188,0.8060712676617445,0.7013077406800319,18.429999999999996,17.890000000000004,
111/03/22,45907979.0,858501437.0,18.75,18.8,18.6,18.75,-0.05,15182.0,False,0.7500000000000004,0.7873808451078298,0.7299987754892979,18.619999999999997,18.070000000000004,
111/03/23,60018794.0,1137346531.0,18.85,19.05,18.85,19.0,+0.25,20478.0,False,0.8888888888888893,0.8212168597015163,0.7604048035600373,18.849999999999994,18.265000000000004,
111/03/24,37352235.0,707733838.0,18.9,19.0,18.8,19.0, 0.00,10438.0,False,0.8888888888888893,0.8437742027639739,0.7881946032946827,18.919999999999995,18.395000000000003,
111/03/25,38662365.0,728432826.0,19.0,19.05,18.75,18.75,-0.25,17273.0,False,0.7428571428571432,0.8101351827950303,0.7955081297947986,18.859999999999992,18.520000000000003,
111/03/28,51570345.0,964415630.0,18.6,18.95,18.45,18.95,+0.20,15144.0,False,0.8333333333333334,0.8178678996411313,0.8029613864102427,18.889999999999993,18.660000000000004,18.195
111/03/29,20968844.0,396558083.0,18.9,18.95,18.85,18.95, 0.00,12476.0,False,0.7222222222222218,0.7859860071681614,0.7973029266628822,18.929999999999996,18.775,18.205000000000002
111/03/30,58531539.0,1115844975.0,19.05,19.15,19.0,19.05,+0.10,17080.0,False,0.8000000000000019,0.7906573381121081,0.7950877304792908,18.939999999999994,18.895000000000003,18.237500000000004
