日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,filter,rsv,k,d,5MA,10MA,20MA
111/03/01,5998775.0,266742177.0,44.45,44.9,43.65,44.75,+1.50,3766.0,False,,,,,,
111/03/02,5733933.0,253490841.0,44.05,45.2,43.75,45.2,+0.45,3328.0,False,,,,,,
111/03/03,6928148.0,311400253.0,45.35,45.6,44.6,44.75,-0.45,3962.0,False,,,,,,
111/03/04,6306078.0,276718652.0,44.25,44.55,43.5,43.5,-1.25,4255.0,False,,,,,,
111/03/07,12887975.0,526032573.0,42.4,42.45,39.95,40.2,-3.30,7850.0,False,,,,43.67999999999999,,
111/03/08,9153405.0,368871537.0,39.95,41.35,39.3,39.65,-0.55,5864.0,False,,,,42.65999999999999,,
111/03/09,11857337.0,477799678.0,40.15,41.05,39.45,41.05,+1.40,6830.0,False,,,,41.83,,
111/03/10,8529174.0,356935036.0,41.55,42.3,41.45,41.95,+0.90,4788.0,False,,,,41.269999999999996,,
111/03/11,10798452.0,461471809.0,41.9,43.35,41.5,43.2,+1.25,6235.0,False,0.6190476190476195,0.5396825396825398,0.5132275132275133,41.209999999999994,,
111/03/14,6982400.0,302353135.0,42.6,43.95,42.6,43.25,+0.05,3734.0,False,0.6269841269841271,0.5687830687830688,0.5317460317460317,41.81999999999999,42.74999999999999,
111/03/15,5899614.0,250874390.0,43.0,43.5,41.9,42.05,-1.20,3424.0,False,0.4365079365079361,0.5246913580246912,0.5293944738389182,42.3,42.48,
111/03/16,6216185.0,267205910.0,42.9,43.5,42.3,42.95,+0.90,3752.0,False,0.6952380952380963,0.5815402704291596,0.5467764060356654,42.67999999999999,42.254999999999995,
111/03/17,7500832.0,330494201.0,44.2,44.7,43.4,43.9,+0.95,4195.0,False,0.8518518518518512,0.67164413090339,0.5883989809915735,43.06999999999999,42.169999999999995,
111/03/18,5393904.0,238031967.0,44.2,44.45,43.8,44.3,+0.40,3151.0,False,0.9259259259259248,0.756404729244235,0.644400897075794,43.29,42.24999999999999,
111/03/21,5005972.0,223340293.0,44.8,45.0,44.25,44.3, 0.00,3016.0,False,0.8738738738738733,0.7955611107874476,0.6947876349796784,43.5,42.66,
111/03/22,3948830.0,175861164.0,44.65,44.95,43.95,44.95,+0.65,2411.0,False,0.9859154929577472,0.8590125715108807,0.7495292804900792,44.08,43.19,
111/03/23,6677045.0,300027467.0,45.1,45.55,44.35,44.35,-0.60,4258.0,False,0.7037037037037045,0.8072429489084886,0.7687671699628822,44.36,43.519999999999996,
111/03/24,3094676.0,137190957.0,44.1,44.7,43.9,44.3,-0.05,1822.0,False,0.6575342465753423,0.757340048130773,0.764958129352179,44.440000000000005,43.755,
111/03/25,4560712.0,199017065.0,44.7,44.75,43.05,43.4,-0.90,2900.0,False,0.4109589041095892,0.6418796667903783,0.723931975164912,44.260000000000005,43.775,
111/03/28,3209592.0,138390880.0,43.0,43.8,42.4,43.8,+0.40,1850.0,False,0.4615384615384616,0.5817659317064061,0.6765432940120767,44.160000000000004,43.83,43.28999999999999
111/03/29,2099833.0,92167000.0,44.0,44.2,43.65,43.7,-0.10,1279.0,False,0.41269841269841423,0.5254100920370754,0.6261655600204096,43.910000000000004,43.995,43.2375
111/03/30,4798219.0,213176389.0,44.3,44.95,43.95,44.0,+0.30,3213.0,False,0.5079365079365086,0.5195855640035532,0.5906388946814574,43.84,44.1,43.177499999999995
111/03/31,3984793.0,171945987.0,44.15,44.15,42.8,42.85,-1.15,3075.0,False,0.14285714285714382,0.3940094236214167,0.5250957376614438,43.55,43.995000000000005,43.082499999999996
111/04/01,2552455.0,108269340.0,42.45,42.9,41.85,42.6,-0.25,1723.0,False,0.20270270270270294,0.3302405166485121,0.4601439973237999,43.39,43.825,43.037499999999994
111/04/06,3548510.0,147239706.0,42.0,42.05,41.2,41.45,-1.15,2719.0,False,0.057471264367816174,0.2393174325549468,0.3865351424008489,42.92,43.540000000000006,43.099999999999994
111/04/07,6032967.0,243702364.0,41.05,41.3,39.85,39.9,-1.55,3960.0,False,0.00980392156862689,0.16281292889284016,0.3119610712315126,42.160000000000004,43.035000000000004,43.1125
111/04/08,2560375.0,103456365.0,40.35,40.75,40.05,40.65,+0.75,1576.0,False,0.1568627450980386,0.16082953429457295,0.2615838922525327,41.49,42.665,43.092499999999994
111/04/11,5253061.0,218367939.0,41.9,42.2,41.05,41.25,+0.60,3225.0,False,0.27450980392156826,0.19872295750357136,0.24063024733621224,41.17,42.36,43.05749999999999
111/04/12,2576765.0,104211103.0,41.05,41.05,40.1,40.3,-0.95,1879.0,False,0.0882352941176462,0.16189373637492965,0.21438474368245136,40.71000000000001,42.05,42.91249999999999
111/04/13,1723761.0,70135672.0,40.7,40.9,40.45,40.7,+0.40,1321.0,False,0.1666666666666669,0.16348471313884205,0.1974180668345816,40.56000000000002,41.739999999999995,42.78499999999999
111/04/14,2322715.0,95338858.0,41.0,41.3,40.7,41.15,+0.45,1758.0,False,0.3023255813953484,0.2097650025576775,0.20153371207561352,40.81000000000002,41.485,42.739999999999995
111/04/15,3669974.0,146810354.0,40.95,40.95,39.6,39.6,-1.55,2551.0,False,0.0,0.13984333503845164,0.18097025306322626,40.60000000000001,41.045,42.57249999999999
111/04/18,2970771.0,116292139.0,39.35,39.9,38.5,39.15,-0.45,1959.0,False,0.17567567567567516,0.1517874485841928,0.17124265157021507,40.180000000000014,40.675,42.334999999999994
111/04/19,2220386.0,87959486.0,39.6,40.15,39.2,39.2,+0.05,1384.0,False,0.1891891891891898,0.16425469545252513,0.16891333286431842,39.960000000000015,40.334999999999994,42.08
111/04/20,1962351.0,77767565.0,39.7,39.95,39.2,39.6,+0.40,1209.0,False,0.2972972972972975,0.20860222940078246,0.18214296504313984,39.74000000000001,40.14999999999999,41.845
111/04/21,2201914.0,86950663.0,39.95,39.95,39.15,39.15,-0.45,1244.0,False,0.17567567567567516,0.19762671149241345,0.1873042138595644,39.34000000000001,40.074999999999996,41.55499999999999
111/04/22,3378713.0,129673744.0,38.85,38.85,38.05,38.15,-1.00,2211.0,False,0.030769230769231205,0.1420075512513527,0.17220532632349378,39.05000000000001,39.824999999999996,41.24499999999999
111/04/25,3740789.0,137273122.0,37.1,37.15,36.2,36.8,-1.35,2408.0,False,0.11764705882352842,0.1338873871087446,0.15943267991857735,38.58000000000001,39.379999999999995,40.86999999999999
111/04/26,2788657.0,104907106.0,37.45,38.1,37.2,37.5,+0.70,1694.0,False,0.25490196078431343,0.1742255783339342,0.16436364605702966,38.24000000000001,39.099999999999994,40.574999999999996
111/04/27,3415650.0,123161383.0,36.25,36.7,35.2,36.65,-0.85,2240.0,False,0.2521739130434775,0.20020835657044864,0.17631188289483596,37.65000000000001,38.69499999999999,40.217499999999994
111/04/28,1705674.0,62600000.0,36.65,37.2,36.1,36.65, 0.00,1226.0,False,0.2929292929292923,0.23111533535672985,0.1945797003821339,37.15000000000001,38.24499999999999,39.864999999999995
