日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,filter,rsv,k,d
111/03/01,131926.0,3867992.0,29.0,29.65,29.0,29.2,+0.20,147.0,False,,,
111/03/02,146753.0,4254770.0,29.15,29.35,28.85,28.95,-0.25,179.0,False,,,
111/03/03,323287.0,9345023.0,29.05,29.35,28.75,28.95, 0.00,253.0,False,,,
111/03/04,212596.0,6156339.0,28.85,29.15,28.8,28.85,-0.10,218.0,False,,,
111/03/07,413799.0,11704225.0,28.85,28.85,28.1,28.2,-0.65,348.0,False,,,
111/03/08,580854.0,16090156.0,28.0,28.35,27.0,27.3,-0.90,447.0,False,,,
111/03/09,267932.0,7343598.0,27.15,27.65,27.15,27.65,+0.35,173.0,False,,,
111/03/10,209911.0,5927999.0,28.0,28.4,28.0,28.1,+0.45,191.0,False,,,
111/03/11,89071.0,2493195.0,27.9,28.1,27.9,28.0,-0.10,113.0,False,0.3773584905660379,0.4591194968553459,0.4863731656184486
111/03/14,147149.0,4114197.0,28.0,28.1,27.85,27.9,-0.10,162.0,False,0.3829787234042545,0.43373923903831546,0.4688285234250709
111/03/15,246210.0,6769316.0,27.9,27.9,27.35,27.65,-0.25,187.0,False,0.2765957446808503,0.38135807425249374,0.4396717070342118
111/03/16,247030.0,6779197.0,27.9,27.9,27.2,27.45,-0.20,201.0,False,0.2093023255813952,0.3240061580287942,0.4011165240324059
111/03/17,123665.0,3446910.0,27.75,28.0,27.65,28.0,+0.55,152.0,False,0.5405405405405401,0.3961842855327095,0.3994724445325071
111/03/18,192038.0,5430240.0,28.1,28.45,28.05,28.45,+0.45,169.0,False,1.0,0.5974561903551396,0.4654670264733846
111/03/21,95261.0,2697223.0,28.45,28.55,28.15,28.35,-0.10,146.0,False,0.8571428571428579,0.6840184126177123,0.5383174885214939
111/03/22,111166.0,3159257.0,28.35,28.5,28.3,28.5,+0.15,137.0,False,0.9629629629629624,0.7769999293994623,0.6178783021474833
111/03/23,186827.0,5361585.0,28.6,28.85,28.55,28.65,+0.15,259.0,False,0.8787878787878772,0.8109292458622672,0.6822286167190779
111/03/24,124903.0,3595097.0,28.8,28.95,28.65,28.75,+0.10,113.0,False,0.8857142857142861,0.8358575924796068,0.7334382753059208
111/03/25,154362.0,4428824.0,28.8,28.95,28.55,28.55,-0.20,135.0,False,0.7714285714285722,0.8143812521292619,0.7604192675803678
111/03/28,134496.0,3798880.0,28.55,28.85,27.7,28.85,+0.30,110.0,False,0.942857142857144,0.8572065490385559,0.7926816947330971
111/03/29,119384.0,3440066.0,28.85,29.0,28.65,28.75,-0.10,109.0,False,0.8148148148148149,0.8430759709639755,0.8094797868100565
111/03/30,116256.0,3358231.0,28.95,29.0,28.8,28.9,+0.15,92.0,False,0.923076923076922,0.8697429550016242,0.8295675095405791
111/03/31,101258.0,2927804.0,28.95,29.0,28.85,28.9, 0.00,108.0,False,0.923076923076922,0.8875209443600567,0.8488853211470715
111/04/01,44532.0,1280268.0,28.8,28.85,28.65,28.7,-0.20,75.0,False,0.7692307692307688,0.8480908859836274,0.8486205094259234
111/04/06,125195.0,3539823.0,28.3,28.45,28.2,28.35,-0.35,138.0,False,0.5000000000000013,0.7320605906557519,0.8097672031691996
111/04/07,179377.0,5031176.0,28.5,28.5,27.85,27.95,-0.40,153.0,False,0.1923076923076922,0.5521429578730653,0.7238924547371548
