日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,filter,rsv,k,d
111/03/01,3818653.0,908893555.0,227.5,243.5,227.5,242.0,+17.00,2961.0,False,,,
111/03/02,1848553.0,438247426.0,236.5,240.0,234.5,238.0,-4.00,1677.0,False,,,
111/03/03,1532212.0,367341523.0,240.0,243.0,236.0,239.5,+1.50,1182.0,False,,,
111/03/04,3160510.0,720694541.0,233.0,234.5,224.0,229.0,-10.50,2613.0,False,,,
111/03/07,2791305.0,598083021.0,222.5,223.0,210.0,212.0,-17.00,2254.0,False,,,
111/03/08,2284201.0,477136752.0,212.0,216.5,203.5,205.0,-7.00,1775.0,False,,,
111/03/09,1122134.0,232127618.0,210.0,210.5,204.0,206.0,+1.00,972.0,False,,,
111/03/10,2447819.0,526372250.0,214.5,219.0,211.0,216.0,+10.00,1840.0,False,,,
111/03/11,4015147.0,806262751.0,212.0,212.0,195.0,201.0,-15.00,3492.0,False,0.12371134020618554,0.3745704467353952,0.4581901489117984
111/03/14,2935942.0,579866306.0,201.0,202.0,192.5,201.0, 0.00,2218.0,False,0.16831683168316833,0.30581924171798625,0.40739984651386096
111/03/15,1043074.0,205310893.0,199.5,200.5,195.0,195.0,-6.00,988.0,False,0.04950495049504952,0.22038114464367398,0.3450602792237987
111/03/16,882284.0,173508182.0,197.5,200.0,194.0,196.5,+1.50,824.0,False,0.09523809523809523,0.1786667948418144,0.28959578442980394
111/03/17,1742668.0,354768645.0,203.0,206.0,200.5,203.5,+7.00,1409.0,False,0.3606557377049181,0.2393297757961823,0.2728404482185967
111/03/18,2203586.0,447268943.0,205.0,205.0,200.0,203.5, 0.00,742.0,False,0.4150943396226415,0.2979179637383353,0.2811996200585096
111/03/21,407110.0,82855056.0,203.5,205.5,202.0,203.0,-0.50,599.0,False,0.3962264150943397,0.3306874475236701,0.2976955625468964
111/03/22,901636.0,179011621.0,202.0,202.0,196.0,200.0,-3.00,852.0,False,0.2830188679245283,0.3147979209906228,0.3033963486948052
111/03/23,733861.0,147065003.0,201.5,202.5,199.0,199.0,-1.00,654.0,False,0.3333333333333333,0.3209763917715263,0.30925636305371224
111/03/24,605649.0,121214022.0,199.0,203.0,198.5,199.0, 0.00,560.0,False,0.4814814814814815,0.37447808834151136,0.3309969381496453
111/03/25,1066667.0,213546687.0,202.0,204.0,198.0,198.0,-1.00,882.0,False,0.3333333333333333,0.3607631700054521,0.3409190154349141
