日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,filter,rsv,k,d
111/03/01,594834.0,14223266.0,24.15,24.15,23.5,23.9,0.25,415.0,False,,,
111/03/02,605483.0,14455498.0,23.95,24.0,23.7,23.9,0.0,399.0,False,,,
111/03/03,506391.0,12095972.0,24.0,24.1,23.8,23.85,-0.05,379.0,False,,,
111/03/04,1138729.0,26843832.0,23.7,23.85,23.5,23.5,-0.35,794.0,False,,,
111/03/07,2303921.0,52642389.0,23.1,23.2,22.6,22.75,-0.75,1431.0,False,,,
111/03/08,2298441.0,51368296.0,22.7,23.05,22.0,22.15,-0.6,1239.0,False,,,
111/03/09,1012499.0,22503957.0,22.2,22.5,22.1,22.3,0.15,691.0,False,,,
111/03/10,1217484.0,27985459.0,22.8,23.15,22.7,23.15,0.85,676.0,False,,,
111/03/11,941238.0,21633327.0,23.0,23.3,22.8,22.95,-0.2,497.0,False,0.44186046511627897,0.4806201550387597,0.4935400516795865
111/03/14,502223.0,11553335.0,23.05,23.2,22.9,23.05,0.1,366.0,False,0.5,0.487080103359173,0.491386735572782
111/03/15,655979.0,14895933.0,23.1,23.1,22.6,22.6,-0.45,462.0,False,0.2857142857142862,0.4199581641442108,0.4675772117632582
111/03/16,1294632.0,29417171.0,23.05,23.05,22.45,22.95,0.35,994.0,False,0.5135135135135127,0.4511432806006447,0.4620992347090537
111/03/17,1075427.0,25042797.0,23.2,23.5,23.15,23.35,0.4,697.0,False,0.9000000000000009,0.6007621870670967,0.5083202188284013
111/03/18,483303.0,11238394.0,23.35,23.4,23.15,23.35,0.0,342.0,False,0.9000000000000009,0.7005081247113979,0.5723828541227335
111/03/21,1442491.0,33812420.0,23.35,23.7,22.9,23.6,0.25,724.0,False,0.9375000000000012,0.7795054164742656,0.6414237082399108
111/03/22,849827.0,20210543.0,23.7,23.95,23.6,23.85,0.25,529.0,False,0.9333333333333348,0.8307813887606219,0.7045429350801478
111/03/23,1012252.0,24210678.0,23.95,24.1,23.8,23.8,-0.05,617.0,False,0.818181818181818,0.8265815319010206,0.745222467353772
111/03/24,527681.0,12558419.0,23.75,23.9,23.65,23.9,0.1,432.0,False,0.8787878787878772,0.8439836475299727,0.7781428607458388
111/03/25,440219.0,10481762.0,24.05,24.05,23.65,23.7,-0.2,361.0,False,0.7575757575757566,0.8151810175452339,0.7904889130123037
111/03/28,711921.0,16547390.0,23.3,23.45,23.0,23.4,-0.3,607.0,False,0.5757575757575746,0.735373203616014,0.772117009880207
111/03/29,340073.0,7950581.0,23.4,23.55,23.25,23.25,-0.15,287.0,False,0.2916666666666672,0.5874710246328984,0.7105683481311039
111/03/30,921177.0,21588468.0,23.35,23.65,23.35,23.45,0.2,424.0,False,0.4583333333333328,0.5444251275330432,0.6551872745984171
111/03/31,626717.0,14636315.0,23.45,23.6,23.2,23.25,-0.2,443.0,False,0.2916666666666672,0.4601723072442511,0.5901822854803618
111/04/01,628090.0,14511179.0,23.25,23.3,22.9,23.15,-0.1,477.0,False,0.20833333333333284,0.3762259826072784,0.5188635178560006
111/04/06,852481.0,19459225.0,22.9,23.0,22.75,22.8,-0.35,732.0,False,0.037037037037037535,0.2631630007505314,0.4336300121541775
111/04/07,1269049.0,28439629.0,22.7,22.75,22.2,22.25,-0.55,979.0,False,0.02702702702702739,0.18445100950936336,0.3505703446059061
111/04/08,576969.0,12885048.0,22.35,22.5,22.25,22.4,0.15,451.0,False,0.10810810810810764,0.1590033757089448,0.28671468830691904
111/04/11,1644806.0,36165327.0,22.45,22.45,21.8,21.9,-0.5,1035.0,False,0.05405405405405296,0.12402026849064753,0.2324832150348285
111/04/12,864847.0,19175856.0,22.0,22.45,21.8,22.45,0.55,643.0,False,0.351351351351351,0.199797296110882,0.2215879087268464
111/04/13,980161.0,22222603.0,22.4,22.85,22.4,22.65,0.2,666.0,False,0.4594594594594588,0.2863513505604076,0.2431757226713667
111/04/14,1106270.0,24707968.0,22.55,22.7,22.15,22.2,-0.45,737.0,False,0.22222222222222127,0.2649749744476788,0.2504421399301374
111/04/15,872794.0,19182095.0,22.1,22.15,21.85,21.95,-0.25,498.0,False,0.09999999999999903,0.2099833162984522,0.2369558653862424
111/04/18,847930.0,18522133.0,21.9,22.0,21.6,21.85,-0.1,532.0,False,0.17857142857142874,0.19951268705611105,0.22447480594286529
111/04/19,549978.0,12181724.0,21.95,22.25,21.95,22.2,0.35,352.0,False,0.4799999999999983,0.2930084580374068,0.2473193566410457
111/04/20,980514.0,22013567.0,22.35,22.6,22.25,22.45,0.25,654.0,False,0.6799999999999983,0.4220056386916039,0.3055481173245651
111/04/21,752514.0,17108138.0,22.5,22.9,22.5,22.75,0.3,448.0,False,0.8846153846153855,0.5762088873328644,0.39576837399399817
111/04/22,428600.0,9647046.0,22.4,22.65,22.35,22.55,-0.2,331.0,False,0.7307692307692318,0.6277290018116535,0.4730885832665499
111/04/25,1403681.0,30463312.0,22.0,22.05,21.5,21.5,-1.05,898.0,False,0.0,0.41848600120776897,0.4548877225802896
111/04/26,1621193.0,34269494.0,21.65,21.7,20.9,20.9,-0.6,890.0,False,0.0,0.27899066747184603,0.39625537087747503
111/04/27,3039006.0,60346843.0,20.5,20.5,19.45,20.15,-0.75,1498.0,False,0.2028985507246376,0.25362662855610985,0.3487124567703533
111/04/28,1247791.0,24957365.0,20.05,20.25,19.85,19.95,-0.2,742.0,False,0.1449275362318841,0.2173935977813679,0.3049395037740248
111/04/29,1731030.0,35833185.0,20.0,21.1,20.0,20.95,1.0,1020.0,False,0.4347826086956523,0.2898566014194627,0.2999118696558374
111/05/03,627945.0,12999098.0,20.8,21.0,20.55,20.85,-0.1,388.0,False,0.4057971014492761,0.3285034347627338,0.30944239135813617
111/05/04,1407299.0,30235464.0,21.05,21.75,21.05,21.5,0.65,848.0,False,0.594202898550725,0.41706992269206417,0.3453182351361121
111/05/05,1010641.0,21972466.0,21.6,22.05,21.5,21.75,0.25,646.0,False,0.7187500000000003,0.5176299484613762,0.4027554729112002
111/05/06,804202.0,16996600.0,21.25,21.3,21.05,21.05,-0.7,514.0,False,0.6153846153846156,0.5502148374357894,0.4519085944193966
111/05/09,1511968.0,30589933.0,20.85,20.85,19.95,19.95,-1.1,871.0,False,0.1923076923076922,0.4309124557264237,0.4449098815217389
111/05/10,1181407.0,23281512.0,19.55,20.15,19.35,20.0,0.05,625.0,False,0.2407407407407403,0.3675218840645292,0.4191138823693356
111/05/11,1024107.0,20379734.0,20.0,20.2,19.65,19.9,-0.1,573.0,False,0.2037037037037027,0.3129158239442537,0.3837145295609749
111/05/12,1359039.0,26410875.0,19.7,19.8,19.2,19.25,-0.65,788.0,False,0.01754385964912305,0.21445850251254345,0.3272958538781644
111/05/13,767681.0,15081301.0,19.35,19.85,19.35,19.8,0.55,421.0,False,0.2105263157894741,0.21314777360485365,0.2892464937870608
111/05/16,1020034.0,20633450.0,20.1,20.5,20.05,20.15,0.35,609.0,False,0.3333333333333329,0.2532096268476801,0.27723420480726724
111/05/17,666763.0,13635499.0,20.35,20.6,20.3,20.6,0.45,425.0,False,0.4912280701754391,0.33254910795693304,0.2956725058571558
111/05/18,753998.0,15542232.0,20.55,20.8,20.55,20.55,-0.05,488.0,False,0.6428571428571431,0.4359851195903364,0.3424433771015493
111/05/19,812362.0,16416565.0,20.05,20.5,20.0,20.4,-0.15,472.0,False,0.7272727272727258,0.5330809888177994,0.4059892476736327
111/05/20,312976.0,6412388.0,20.6,20.6,20.4,20.5,0.1,199.0,False,0.8124999999999998,0.6262206592118662,0.4793997181863772
111/05/23,292131.0,5985094.0,20.65,20.7,20.3,20.5,0.0,186.0,False,0.8124999999999998,0.6883137728079107,0.5490377363935549
